20230823	18:57:26	3d0329ed-0563-41d8-a17f-70231673c009	GET	undefined	/employees/:1
20230823	19:00:50	81a7f7e7-54a5-4576-9961-b69da7a79912	POST	undefined	/auth
20230823	19:01:09	4c7077d1-4505-41ea-a066-bfb21be16c9e	GET	undefined	/employees
20230823	19:01:12	ff199178-cf07-4330-8937-215b9e5455b5	GET	undefined	/employees
20230823	19:08:26	83566583-1d5d-4a8c-8f45-a2234306f906	POST	undefined	/auth
20230823	19:08:41	fd2071eb-bca5-4a09-9339-2f9030a18e89	GET	undefined	/employees
20230823	19:08:57	e4d0a0e2-9060-4206-b748-776fcf8480dc	GET	undefined	/employees
20230823	19:29:00	27e0c40f-3826-4405-813c-30ff41c83839	POST	undefined	/auth
20230823	19:31:37	fc700d1a-cdca-4f1f-8425-d73ab3ed7afc	GET	undefined	/refresh
20230823	19:48:29	0fe240cb-2f8c-4f2d-a2c7-72426c5bce23	GET	undefined	/logout
20230823	19:49:35	944695a4-f8d0-4a80-b818-e11f02e7621d	POST	undefined	/auth
20230823	19:49:43	564803f7-aed1-4994-88ec-30518d0feafa	GET	undefined	/logout
20230823	23:57:04	6016d057-2147-4d6c-939d-0d37bd9307f7	POST	undefined	/auth
20230823	23:57:18	05fe10e9-16ba-4ee6-b86a-40cc358b6212	GET	undefined	/employees
20230823	23:57:41	e368600a-73e7-4ce8-96c1-e74a2db28ae2	POST	undefined	/register
20230823	23:58:52	e0ab8462-a354-438f-b576-7c92517ccbb4	POST	undefined	/auth
20230823	23:59:04	b821e36a-4aa5-4bb5-8a46-32693bd3f422	GET	undefined	/employees
20230823	23:59:15	a68a8caa-dfa9-412a-b073-9daa6aafcef5	POST	undefined	/register
20230824	00:09:59	48219ca0-85f2-41a2-ae66-896f904f9898	POST	undefined	/register
20230824	00:10:17	2c89ebbc-70f2-46e2-809f-dad9f2ca2288	POST	undefined	/register
20230824	00:13:21	a426c909-ae24-4d45-9674-7a4d7dd0bc84	POST	undefined	/auth
20230824	00:13:36	f5563602-dd96-4c54-ac95-61673dfe174d	POST	undefined	/employees
20230824	00:13:47	53422b55-c220-4de7-a348-cfbed9ee1791	GET	undefined	/employees
20230824	00:15:37	1b057314-ab8f-47b5-94fb-7cf22c238a80	POST	undefined	/auth
20230824	00:15:52	3a3a2155-a534-401a-ba19-144e8d6ddbab	POST	undefined	/employees
20230824	00:16:06	c820671a-3321-4c47-9634-633827bb7f74	GET	undefined	/employees
20230824	00:16:18	0c8b98d6-0cd4-4027-a001-42cf16ee4b72	DELETE	undefined	/employees
